"tweet_id","text","label"
"1311162417938919424","imma keep it real with y’all i don’t think the #debates2020 should be on twitch!!!!!!!! 💯💯","NONE"
"1299361296400429057","@USER guess the #cult45 #trumpdrunkmorons can pick their poison... unlike jim jones who only offered one, trump has served up an assortment. #trumpgenocide #ettd #votebluetosaveamerica","NONE"
"1239350672782483456","joe “let’s be reasonable guys not everybody can get medicare” biden #demdebate","NONE"
"1299022276571140099","pelosi says biden shouldn't debate trump: 'i wouldn't legitimize a conversation with him'

HTTP

we knew this would happen. nothing will make him rise from the basement. the left will scratch, bite, and eat their own rather than face the president!

#maga","AGAINST"
"1295359993655578624","@USER hey @USER, here’s what your own party thinks of you. a billboard paid for by the @USER for the world to see. @USER will win the #2020election HTTP","NONE"
"1311235846964641792","@USER why is it biden’s job to control trump?  that is the moderator’s job because trump did not follow the rules agreed upon by his campaign.  chris wallace couldn’t control trump and biden took the high road.","NONE"
"1301579141364543490","@USER nancy pelosi and the others democrat leaders just think that american people is stupid. this is rude and too un respectful againts people. you are a lier @USER #trump #trump2020 #maga #kag2020 #fourmoreyears","AGAINST"
"1230338655056781312","can we get a sanders v. warren battle yet? we’ve seen every other fight, but warren needs to take the gloves off against sanders (more than just commenting on online supporters). #demdebate","NONE"
"1300787077186027520","just a reminder that local races matter now more than ever! 

take a minute today to confirm/update your voter registration, get info on upcoming elections, and make sure you have a plan to vote! 📮🇺🇸 #2020election #massachusetts #votema HTTP","NONE"
"1311126742459756546","can someone point me to the nearest antifa headquarters so i can sign up? who's the local leader? is there an email for antifa? #maga #debates2020 #trump2020 #bidenharristosaveamerica","FAVOR"
"1303772443077562368","new nickname for biden.  #bidenstein he’s a puzzle of candidates.  plagiarizing trump’s buy american policy, bernie’s yelling, elizabeth warren’s lying. more scary than funny #bidenharris2020tosaveamerica #amjoy #2020election @USER @USER @USER #foxnews","AGAINST"
"1296651959844384772","@USER “they will turn your kids gay right before antifa brainwashes jesus into eating your kids’ brains.”
-#rnc2020","NONE"
"1311316940615569411","@USER typical. i don't know why nobody stands up to these turds. #dumptrump","FAVOR"
"1311190642261860352","@USER trump lobbied to have disabled vets food trucks removed from outside his building. a right vets had preferred status for since returning from the civil war.","NONE"
"1311099566566117376","comment: polls are showing that biden is in the lead over trump. they are saying that the debates will have an influence on the outcome. trump is highly respected by leaders of other nations, is recommended for noble peace prize. biden has the personality","NONE"
"1311235286534205442","@USER @USER i’m all for third party options. but give the fact that everyone is literally voting for either trump or biden, it’s going to be equivalent to voting for trump or no vote at all 😔","NONE"
"1310894253107752961","donald trump successfully created a new “american enemy”, china.
HTTP

#trump #trumptaxreturns #trumpknew #trumpriots #trump2020 #bidenriots #biden #biden2020 #usa #usapolitics #democrat #democratsaredestroyingamerica #republicans #europe #europeanunion","NONE"
"1297574157312565249","arrest made in viral hate crime against 7 year old boy with maga hat HTTP","NONE"
"1295893983923773441","loved seeing openly lgbtq elected officials @USER, @USER, and @USER assist in delivering the 2020 democratic convention keynote 🇺🇸 🏳️‍🌈 #demconvention #keynote #bidenharris2020","FAVOR"
"1291041428991172610","hey @USER why isn't $2048 an ounce for #gold a news alert? over 27,000 dow? @USER @USER #trump2020 #maga #kag! #money #goldprices HTTP","NONE"
"1295559304100089856","@USER screw you #democraticnationalconvention #trump #trumpisanationaldisgrace #trumpvirus #dncconvention #wethepeople #biden2020tosaveamerica","FAVOR"
"1304899137133899776","@USER @USER it never fails, they always play the victim and cry. she had the audacity to ask for a female officer. 🤡 #trump2020","AGAINST"
"1294792642182742018","@USER taylor swift wants attention and votes democrats because her payroll depends upon them #trump2020","AGAINST"
"1311096634269466624","at @USER.havasu.cigars getting ready to watch the debate rocking my bad ass new hat compliments of @USER gracias hermano! #jeremyjack #jeremyjackcigars #jj23 #trump #maga #lakehavasu #az #arizona #potus HTTP","NONE"
"1291445812443004930","@USER a lot of #gop #senators are going to have to figure out where the #moneymaker is going to come from without the @USER lining their pockets","NONE"
"1250575882193862666","@USER + @USER + @USER + @USER = the a team 

#biden #election2020 #bernie #obama #warrenendorsesbiden #joebiden #presidentbiden #votebluetosaveamerica #voteblue2020 #notmeus #bluewave2020 #unitedasone #southasian #asian #electionsmatter #novemberiscoming HTTP","FAVOR"
"1300042901330759682","watching #gma is like a #dnc commercial. so shameful. #fakenews","NONE"
"1288853636110483458","@USER we are witnessing that anyone with a half a brain can control people’s thoughts! #trump2020","AGAINST"
"1250426219486572545","@USER who could’ve guessed the party that’s so woefully inept at governing it couldn’t create a plan to repeal &amp; replace obamacare in 8 years would completely wilt under pressure dealing with a pandemic health emergency? #resist #votebluetosaveamerica #knowyourdeplorables","NONE"
"1310986345288880128","@USER @USER @USER @USER @USER @USER and joe biden is 1 trillion in debt. easy to pull random numbers out my ass with no sources.","NONE"
"1230317279558107136","joe has got to get into this fight! oh man! #democraticdebate","NONE"
"1288929915518287878","@USER i no longer listen to dr. scarf.
she has sold her soul to trump.
i believe nothing coming out of this wh.

#votebluetosaveamerica","NONE"
"1296483895307833345","kamala harris' dnc speech claimed a new moment for progressive democrats
HTTP
 #leftwing #politics #democrat #bernie","NONE"
"1300062669689495552","this is the america the #democrats desire. disgusting.
#walkawayfromdemocrats #maga2020 #maga
HTTP","AGAINST"
"1302381760085286912","i find it strange that djt would never hire someone at his businesses without a resume stating qualifications...but he thinks his ""resume"" qualified him to be the leader &amp; commander in chief of the usa. 🤔🤔🤔
#votebidenharristosaveamerica #bidenharris2020landslide 
#biden2020","FAVOR"
"1239393835760795651","#democratic #whitehouse contender biden says he would pick a woman as vice president HTTP","NONE"
"1311134690468933633","shit. shitty. shit. show. #presidentialdebate2020 #dumptrump #notmypresident #makeamericanotrussiaagain #shutupman","NONE"
"1311087789405089793","@USER you should do what feels right, you're the one who is going to have to live with your decision ultimately.
personally i see no reason to vote biden though","AGAINST"
"1311065233356664833","biden says he will focus on truth, here is the problem.  HTTP","AGAINST"
"1296833544346640384","@USER #maga 
white evangelicals are the biggest suckers in america. from tv preachers, #blacksfortrump steve bannon and the my pillow guy, grifters see working-class whites as marks, pigeons, and johns to be fleeced.","AGAINST"
"1225971704540942336","the rats scotus plan is awful, a truly balanced supreme court would be 4 communists, 4 socialists, and 4 social democrats #demdebate","NONE"
"1305185080042692611","@USER thank you president trump! last night was amazing! you know what, nancy is livid, she just might have a stroke 🥱😉#nevadafortrump #trump2020","AGAINST"
"1300493291528638464","@USER @USER enjoy!

please #followback everyone who rt’s this short (1:36), upbeat video 

#voteblue 
#votebidenharris2020 
- “kamala and joe” - 
(remember to click “thumbs up”.)

thanks! 

HTTP","FAVOR"
"1311200445508079616","america's ceos say trump failed on coronavirus -- and they're backing biden HTTP","FAVOR"
"1284984849237970944","@USER by this time in nazi germany ted here would be showing up to be fitted with a uniform. 
gop want one party rule. they will lie cheat steal burn our constitution to achieve that end. gop want to rule not govern.
#votelikeyourlifedependsonit because it does.
#votebluetosaveamerica","FAVOR"
"1296930507251421185","@USER one simple slogan, ""keep america great""!  #trump2020","AGAINST"
"1302360807343353857","kneeling for the flag is against our military.

calling our fallen soldiers, pow, and soldiers losers and suckers is perfectly ok

trump logic! #maga dont deserve this country. #maga2020 voters should be deported the day of bidens inauguration for their hatred of america.","FAVOR"
"1311076501778042880","@USER @USER this just feels like an excuse to publically wet willie joe biden.","NONE"
"1298440952714006530","is the rnc going to march out every trump voter?

newsflash: 
lies don't sway people who read

#noplatform 
#boring 
#votebluetosaveamerica HTTP","FAVOR"
"1301582752131805187","joe biden to meet with jacob blake, sr., who has long history of racist, anti-semitic, and anti-christian posts, in kenosha HTTP","AGAINST"
"1305149516325232640","@USER @USER @USER is right. if there isn't more focus on policy, a reason to vote, @USER may not win the progressive/indy voters. is this 2016 again? #thisweek #covid19 #sundaythoughts #voteblue HTTP","NONE"
"1239364577474818049","biden and sanders both want to nominate a woman for vp. who do you guys think could it be? warren? klobuchar? harris? or somebody nobody is expecting. #demdebate","NONE"
"1298830453491642373","@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER 🇺🇸 thank you for the mention, stephen!

#trump2020!","AGAINST"
"1286656753959088130","@USER @USER he's politicizing the death of a child, and misrepresenting what is 99.9% likely to be a valid certificate of death showing covid-19 as an ""other factor"" or illness also present at time of death. this is how we retain crucial medical data! #gop - stop making death political!","NONE"
"1298370494899671040","@USER @USER @USER he's a senate-confirmed presidential appointee and forbidden to even attend the convention.  that's hardly the democrats keeping him from speaking.  and if you want to talk double standards, the trump admin is full of them so stop whining. it's time for trump to go. #voteblue2020","FAVOR"
"1311093079856775170","neither biden or trump have managed to complete an entire thought or sentence since like 2010","NONE"
"1304200610871345152","campaign trump is the best trump.

#trump2020 #trump2020landslide","AGAINST"
"1311083336920596481","@USER lol, biden needs a bump to keep him hummin'","AGAINST"
"1294773280239308800","how to safely return your absentee ballot without usps #vote #votebidenharris #voteblue2020 #voterfraud #votersuppression  HTTP","FAVOR"
"1296596231339286529","it's the final night of the #demconvention!

make sure you watch joe biden with me! 9 pm et - HTTP","FAVOR"
"1290349541322096641","@USER #hypocrisy... in the #gop HTTP","NONE"
"1311392915692847104","loving the comments on my tweet, particularly the aggressive ones. clearly, western leftists are now experienced arabic linguists! so let’s agree on something: inshallah biden wins or inshallah trump wins? perhaps @USER can respond? #debates2020","NONE"
"1292572156392611840","@USER the #gop has been trying to do this for decades. the government has taken funds from it to pay for whatever. 
it is not their piggyback to use.","NONE"
"1311176788492587008","if after watching the debate you still are voting for trump... wow","FAVOR"
"1295093155516342273","@USER remember back when you said ‘listen to the experts’ ?

no?
yeah, figures now that it doesn’t fit the new democrat agenda i guess 🤷🏻‍♂️

#usps #fauci #vote2020 #trump2020 HTTP","AGAINST"
"1304073083729457153","""trump’s executive action may be too little, too late, especially if people...do not similarly fight back against this movement"" #fightbackamerica #trumpwarriors #kag wake up &amp; fight!! stop looking to govt to do it for you! 
HTTP","AGAINST"
"1287235964595834880","y’all drop your @ and let’s help each other grow! i follow everyone back!! #maga #backtheblue","NONE"
"1295577613117923328","@USER @USER @USER ........ &amp; don't let him cancel your dinner plans anymore either! open the economy! demand voter id! biden wins landslide!

#nevertrump

#biden2020landslide","FAVOR"
"1301297305883213826","#nba ratings crash continues, lakers big win least-watched game of series HTTP","NONE"
"1302772317798502402","@USER he never had a lead in texas...  except  for the same lead as crooked hillary in your liberal fantasy polls! #trump2020","AGAINST"
"1299031857015685122","@USER @USER @USER @USER oh please @USER will chew him up and spit him out and we all know it. 🇺🇸🇺🇸🇺🇸 #trump2020","AGAINST"
"1295035424579223552","@USER @USER is a racist - shame on you bigot! #trump2020","NONE"
"1311111108049203202","all i got to say is biden and trump both need lip injections","NONE"
"1302678725843193857","@USER welcome to the family!  wise choice!  #trump2020 let us save our country from the self-destructive &amp; ever angry hateful empty democrats. HTTP","AGAINST"
"1288073174492385282","#gop donald trump knows his reelection chances are in trouble, so he's trying to confuse americans &amp; erode trust in our elections. he’s losing to joe biden, according to almost every poll. so he's trying to sow discord &amp; confusion about the election.

HTTP","FAVOR"
"1296879305855774721","@USER yay #trump2020 again","AGAINST"
"1311074836219932673","hillary is every bit the white supremacist republican
joe biden is. joe clearly not being as competent a candidate  is re-enraging shitlibs vs the left.","AGAINST"
"1286764767965675520","@USER it's so weird, once in a while he sounds lucid. anyway....#biden2020","FAVOR"
"1288868389465751552","@USER and somehow, my bet is that the msm “journalists” out there, along with the dems, are quite gleeful about this.
#trump2020","NONE"
"1303768178812579840","@USER well, i guess then we won't have to worry about his ""re-election"" wants/hopes &amp; desires after we re-elect him in november.

it'll just be full steam ahead agenda to move this country forward...

#trump2020 
#pence2024 
#trump2028 
#trump2032 

your world will be a nightmare...","AGAINST"
"1287565813977886721","@USER @USER then why don’t democrats come out and denounce all this violence?
#seattleriots #democrats #blmterrorists #blm #antifadomesticterrorists #antifa #trump #trump2020 #maga #maga2020 #election2020 #lawandorder #usa","AGAINST"
"1288612077368680451","@USER maybe if you dems hadn’t wasted so much $ in the 1st bill  like for the arts - what did that have 2do w a pandemic-employees were laid off wo a dime, maybe there’d b$ for the kids you are now so concerned about. @USER 🇺🇸🇺🇸🇺🇸🇺🇸 #trump2020","AGAINST"
"1301970132047220736","@USER followed you. please follow me back #resist  #fbr  #voteblue2020  #bidencalm","FAVOR"
"1310974278779703297","president trump and biden prepare for a debate that could turn personal HTTP","FAVOR"
"1296907666921533449","@USER #rnc2020 is going to be lit @USER ! we will hear about a 3 year record of accomplishment by the #potus @USER as opposed to a canned speech that avoids the ""void"" of 47 years of nothing under #hidenbiden","AGAINST"
"1290056904283009024","@USER idgaf who he picks. i'm voting blue, no matter who. 

we must get this fucking maniac out of our white house.

#votebluenomatterwho 
#ettd","FAVOR"
"1291375133668659208","@USER @USER every time trump is in front of a microphone his mental ability should be called into question. he in incoherent, inept and incompetent. i feel much safer with biden as president than the unethical, corrupt fool we have now. #biden2020","FAVOR"
"1217258520246214656","#demdebate i’d rather stick pins in my eyes than watch","NONE"
"1230338909235826688","so all the candidates support 'the process', meaning: a superdelegate override of bernie's plurality. pretty pathetic. #demdebate","NONE"
"1293652889873809409","@USER can't wait to see you breakdown screaming when trump hands bidens ass to him
#trump2020","AGAINST"
"1292891092992499714","djia is at 93.9% of all time high, despite #democratstheenemywithin trying to tube the economy!!  #trump2020 defeats impact of #covid_19 !  live with it!  vote @USER dum @USER  go with @USER @USER","AGAINST"
"1311183699354976257","@USER awful and shocking. trump ignored all rules, could not show any self restraint or decency. i expected him to be shameless and vicious (to the point i wasn’t sure i’d watch) and he was still much more cruel than i could imagine. we must vote this tyrant out","FAVOR"
"1294407545503780869","@USER we are with you alllll the way! #trump2020","AGAINST"
"1262376841383469058","@USER a former president who wasn’t impeached and who won the nobel (not “noble”) prize. jealous much? #obamawasbetterateverything  #votebluetosaveamerica","FAVOR"
"1292291573628035072","@USER @USER @USER @USER c’mon man, all the dem leaders have been in office for decades and accomplished very little.  trump outperformed them all in 3.5 years.  #maga","AGAINST"
"1294089010432933889","@USER @USER americans must vote out the following people from their respective offices:
susan collins
mitch mcconnell
lindsey graham 
donald trump 

who else should be voted out office?

#votebluetosaveamerica","FAVOR"
"1298419004420362240","i mean, even this prayer is a bit crazy. #rncconvention2020 #rnc2020","NONE"
"1301161041984880640","@USER yes, @USER. move, rather than actually protecting your home and solving a frigging problem. #coward #compliance #antifa #blm #maga #trump2020","AGAINST"
"1310904099668463617","@USER oh please... how about releasing your taxes! #dumptrumperdinck #dumptrump2020 #dumptrump #releaseyourtaxestrump #trumpisaliar #trumptaxreturns #trumpcrimefamily #trumpisafake #trumpisaphony #trumpisfake #phonytrump","FAVOR"
"1296114062665768960","kamala. hillary. barack. today is going to be 🔥🔥🔥🙌🏽🙌🏽🙌🏽 #demconvention #dnc #democraticnationalconvention #bidenharris #bidenharris2020 #joebiden #kamalaharris #kamaladay #vote HTTP","FAVOR"
"1296875547490910208","well, if #trump is taking the lead /micromanaging #rnc2020 , it should be pretty childish.  HTTP","NONE"
"1298262071188963329","#backtoschool2020 today in florida! #trumpcountry #trump2020 #godblessamerica HTTP","AGAINST"
"1295544600686260225","@USER @USER is right.  so why are you still a @USER  in disguise?  #maga #trump2020landside #keepamericagreat","AGAINST"
"1311110345872863232","y’all nothing has really happened yet but biden has that fresh cut ok king","FAVOR"
"1283871824560844800","@USER what is with the #gopcowards wanting to withhold money from states? stop creating bullshit legislation, that you know has no merit. #votebluetosaveamerica","FAVOR"
"1292429145939554305","the u.s. government is now deciding what you can put on your iphone. it won’t stop with #tiktok
#governmentoverreach #votetrumpout #votebluenomatterwho #votebiden #voteblueasifyourlifedependedonit #putinpuppet #bluewave2020
 HTTP","FAVOR"
"1293306005598556160","@USER @USER my dream ticket was and will always be warren/castro. 

here is hoping for warren as senate majority leader and castro on the ticket in 2024. 

#progressives #voteblue","NONE"
"1296657349235671041","to all the pundits on my tv talking about how the convention was light on policy specifics: that's what the debates are for. i cannot wait to see joe biden and kamala harris go toe to toe with trump and pence on policy. bring it! #demconvention","FAVOR"
"1298332181270429696","@USER @USER @USER @USER @USER can't refute any of what i wrote, eh?

#maga murderous authoritarians gaslighting america!","NONE"
"1296277930188902400","i miss having a president that speaks eloquently. that has empathy and hope for a better tomorrow. fortunately, we will soon  have that again with #bidenharris2020. 

#demconvention","FAVOR"
"1311115601474191362","his tactic is clear. don't let biden get a coherent message across. #debates2020","NONE"
"1287426599789498374","#americawakeup antifa is using the black community for their own gains as a shield, they don't care about you, your family, or your future.  watch this video, it's extremely well put. #maga

HTTP","AGAINST"
"1311102561252904961","@USER @USER @USER @USER @USER good paying energy jobs will be eliminated under biden.  he wants to end fracking, and cars.  there isn't any technology to replace cheap and plentiful oil.","AGAINST"
